lat,lon,emission,cluster,cluster_ordered
46.0,2.0,3401.06,2,1
40.4,24.2,0.171476,0,0
39.8,19.7,3.09616,0,0
56.8,12.9,5849.45,4,2
44.3,25.7,9344.06,3,3
44.6,-4.7,0.579051,0,0
50.2,8.0,11570.7,3,3
40.8,14.1,9978.61,3,3
64.6,18.2,310.417,0,0
64.2,18.0,132.741,0,0
37.9,12.7,2096.78,2,1
44.0,-7.9,0.453347,0,0
42.9,24.2,4226.46,2,1
64.4,28.8,314.177,0,0
48.1,-0.5,5398.3,4,2
56.8,-3.3,17.3281,0,0
43.9,24.3,8256.58,4,2
43.5,-6.1,8773.7,3,3
56.4,25.7,2619.28,2,1
44.1,21.6,209.856,0,0
36.2,27.7,1.03564,0,0
67.3,25.9,181.678,0,0
66.7,21.0,758.627,0,0
45.1,6.3,91.8568,0,0
43.4,-2.6,0.738199,0,0
53.0,7.5,5540.76,4,2
37.5,26.3,0.904865,0,0
45.9,24.2,1124.11,0,0
52.8,17.6,6938.65,4,2
38.4,-0.1,3.6117,0,0
62.3,8.4,19.1543,0,0
51.9,20.3,4049.31,2,1
36.2,1.7,113.0,0,0
54.5,26.1,2918.65,2,1
43.4,23.8,4601.11,2,1
39.0,1.5,4045.85,2,1
46.3,4.7,15227.8,1,4
50.9,24.5,1641.36,0,0
60.2,6.7,44.6933,0,0
50.7,16.0,10858.2,3,3
46.9,2.7,3498.1,2,1
42.3,1.6,835.236,0,0
36.1,14.8,2.43485,0,0
65.1,21.0,333.097,0,0
48.4,26.7,3418.92,2,1
38.8,-2.6,438.015,0,0
55.1,14.6,225.399,0,0
53.9,-0.3,3427.6,2,1
50.4,12.9,6226.2,4,2
70.4,27.5,368.71,0,0
43.8,1.4,13251.9,3,3
35.2,-4.1,69.9003,0,0
37.0,13.9,17.8598,0,0
55.5,26.4,13437.9,3,3
57.0,29.0,21.0813,0,0
45.2,28.3,1987.94,2,1
56.4,29.9,20.8839,0,0
35.7,-5.9,14813.8,1,4
50.9,0.8,2333.58,2,1
61.3,14.7,24.3543,0,0
53.4,24.4,568.587,0,0
50.0,24.6,2125.91,2,1
56.1,11.7,114.943,0,0
38.4,-1.2,547.634,0,0
43.9,11.4,13756.6,1,4
43.7,-5.8,7.1216,0,0
50.9,11.7,6033.74,4,2
42.6,-6.3,1730.31,0,0
40.9,27.5,1593.1,0,0
51.3,-1.3,7543.46,4,2
35.1,24.9,5030.0,4,2
67.7,26.9,29.218,0,0
49.7,11.4,6123.54,4,2
42.2,-4.2,1231.5,0,0
67.3,15.7,9.90781,0,0
60.4,12.6,92.1084,0,0
53.8,20.7,2539.49,2,1
40.0,-9.8,0.526137,0,0
45.4,2.6,867.866,0,0
50.2,30.2,6690.35,4,2
68.7,17.1,534.778,0,0
35.0,1.4,9.92727,0,0
46.8,25.9,5317.07,4,2
55.6,9.7,5519.27,4,2
37.0,7.1,0.215063,0,0
35.3,-3.1,1019.46,0,0
43.4,12.3,595.249,0,0
34.5,-1.4,0.43958,0,0
45.8,1.7,2222.61,2,1
56.3,10.8,5197.15,4,2
56.5,-4.5,10.6635,0,0
53.7,13.9,1452.87,0,0
36.1,9.2,275.899,0,0
64.2,26.3,432.07,0,0
50.5,28.3,1619.96,0,0
45.7,27.6,13411.8,3,3
66.6,28.9,241.447,0,0
66.1,21.1,176.44,0,0
